Iteration,Angle,Angle_Velocity,Angle_Accel,Distance,Velocity,Force,Nc
185,-312.328,-315.639,,17.591,2.853,000,
186,-318.641,-293.148,,17.648,2.679,000,
187,-324.504,-270.430,,17.702,2.500,000,
188,-329.912,-247.724,,17.752,2.315,000,
189,-334.867,-225.244,,17.798,2.126,000,
190,-339.372,-203.174,,17.840,1.934,000,
191,-343.435,-181.654,,17.879,1.741,000,
192,-347.068,-160.781,,17.914,1.546,000,
193,-350.284,-140.609,,17.945,1.350,000,
194,-353.096,-121.154,,17.972,1.154,000,
195,-355.519,-102.398,,17.995,0.958,000,
196,-357.567,-84.296,,18.014,0.762,000,
197,-359.253,-66.784,,18.029,0.566,000,
198,-360.589,-49.782,,18.041,0.371,000,
199,-361.584,-33.199,,18.048,0.176,000,
200,-362.248,-16.936,,18.052,-0.019,000,
201,-362.587,-34.399,,18.051,0.177,001,
202,-363.275,-51.964,,18.055,0.372,001,
203,-364.314,-69.730,,18.062,0.568,001,
204,-365.709,-87.796,,18.074,0.764,001,
205,-367.465,-106.247,,18.089,0.960,001,
206,-369.590,-125.163,,18.108,1.157,001,
207,-372.093,-144.604,,18.131,1.353,001,
208,-374.985,-164.615,,18.158,1.549,001,
209,-378.277,-185.215,,18.189,1.745,001,
210,-381.982,-206.395,,18.224,1.940,001,
211,-386.110,-228.111,,18.263,2.133,001,
212,-390.672,-250.286,,18.306,2.324,001,
213,-395.678,-272.800,,18.352,2.513,001,
214,-401.134,-295.500,,18.402,2.697,001,
215,-407.044,-318.199,,18.456,2.877,001,
216,-413.408,-340.685,,18.514,3.050,001,
217,-420.221,-362.737,,18.575,3.216,001,
218,-427.476,-384.128,,18.639,3.375,001,
219,-435.159,-404.637,,18.707,3.525,001,
220,-443.251,-424.044,,18.777,3.667,001,
221,-451.732,-442.127,,18.851,3.801,001,
222,-460.575,-458.633,,18.927,3.929,001,
223,-469.747,-473.261,,19.005,4.051,001,
224,-479.213,-485.627,,19.086,4.171,001,
225,-488.925,-495.250,,19.170,4.292,001,
226,-498.830,-501.561,,19.255,4.418,001,
227,-508.861,-503.946,,19.344,4.553,001,
228,-518.940,-501.852,,19.435,4.700,001,
229,-528.977,-494.922,,19.529,4.861,001,
230,-538.876,-483.124,,19.626,5.039,001,
231,-548.538,-466.829,,19.727,5.233,001,
232,-557.875,-446.777,,19.832,5.439,001,
233,-566.810,-423.936,,19.940,5.656,001,
234,-575.289,-399.334,,20.053,5.877,001,
235,-583.276,-373.903,,20.171,6.101,001,
236,-590.754,-348.396,,20.293,6.324,001,
237,-597.722,-323.367,,20.419,6.544,001,
238,-604.189,-299.186,,20.550,6.761,001,
239,-610.173,-276.084,,20.686,6.973,001,
240,-615.695,-254.187,,20.825,7.181,001,
241,-620.778,-233.549,,20.969,7.384,001,
242,-625.449,-214.179,,21.116,7.583,001,
243,-629.733,-196.053,,21.268,7.779,001,
244,-633.654,-179.131,,21.424,7.971,001,
245,-637.237,-163.360,,21.583,8.161,001,
246,-640.504,-148.681,,21.746,8.349,001,
247,-643.477,-135.031,,21.913,8.535,001,
248,-646.178,-122.343,,22.084,8.719,001,
249,-648.625,-110.552,,22.258,8.902,001,
250,-650.836,-99.591,,22.436,9.085,001,
251,-652.828,-78.184,,22.618,8.899,000,
252,-654.391,-56.424,,22.796,8.712,000,
253,-655.520,-34.402,,22.970,8.524,000,
254,-656.208,-12.199,,23.141,8.335,000,
255,-656.452,10.111,,23.307,8.145,000,
256,-656.250,32.454,,23.470,7.956,000,
257,-655.601,54.761,,23.629,7.766,000,
258,-654.505,76.959,,23.785,7.578,000,
259,-652.966,98.973,,23.936,7.390,000,
260,-650.987,120.722,,24.084,7.204,000,
261,-648.572,142.117,,24.228,7.020,000,
262,-645.730,163.061,,24.369,6.838,000,
263,-642.469,183.449,,24.505,6.659,000,
264,-638.800,203.164,,24.639,6.483,000,
265,-634.736,222.083,,24.768,6.310,000,
266,-630.295,240.072,,24.894,6.141,000,
267,-625.493,256.990,,25.017,5.975,000,
268,-620.354,272.685,,25.137,5.812,000,
269,-614.900,286.993,,25.253,5.652,000,
270,-609.160,299.738,,25.366,5.495,000,
271,-603.165,310.727,,25.476,5.340,000,
272,-596.951,319.755,,25.583,5.185,000,
273,-590.556,326.604,,25.686,5.030,000,
274,-584.023,331.053,,25.787,4.873,000,
275,-577.402,332.892,,25.884,4.714,000,
276,-570.745,331.942,,25.979,4.550,000,
277,-564.106,328.081,,26.070,4.381,000,
278,-557.544,321.265,,26.157,4.206,000,
279,-551.119,311.547,,26.241,4.026,000,
280,-544.888,299.082,,26.322,3.839,000,
281,-538.906,284.116,,26.399,3.648,000,
282,-533.224,266.965,,26.472,3.452,000,
283,-527.885,247.986,,26.541,3.253,000,
284,-522.925,227.539,,26.606,3.052,000,
285,-518.374,205.966,,26.667,2.849,000,
286,-514.255,183.566,,26.724,2.647,000,
287,-510.583,160.589,,26.777,2.444,000,
288,-507.372,137.233,,26.826,2.243,000,
289,-504.627,113.646,,26.870,2.042,000,
290,-502.354,89.933,,26.911,1.843,000,
291,-500.555,66.163,,26.948,1.645,000,
292,-499.232,42.375,,26.981,1.448,000,
293,-498.385,18.590,,27.010,1.252,000,
294,-498.013,-5.190,,27.035,1.056,000,
295,-498.117,-28.970,,27.056,0.860,000,
296,-498.696,-52.759,,27.073,0.664,000,
297,-499.751,-76.565,,27.087,0.467,000,
298,-501.283,-100.390,,27.096,0.270,000,
299,-503.290,-124.225,,27.101,0.072,000,
300,-505.775,-148.041,,27.103,-0.128,000,
301,-508.736,-144.681,,27.100,0.053,001,
302,-511.629,-140.057,,27.101,0.235,001,
303,-514.430,-134.198,,27.106,0.418,001,
304,-517.114,-127.148,,27.114,0.603,001,
305,-519.657,-118.967,,27.126,0.789,001,
306,-522.037,-109.728,,27.142,0.976,001,
307,-524.231,-99.512,,27.162,1.165,001,
308,-526.221,-88.413,,27.185,1.354,001,
309,-527.990,-76.527,,27.212,1.545,001,
310,-529.520,-63.956,,27.243,1.736,001,
311,-530.799,-50.805,,27.278,1.928,001,
312,-531.815,-37.178,,27.316,2.120,001,
313,-532.559,-23.178,,27.359,2.313,001,
314,-533.023,-8.910,,27.405,2.506,001,
315,-533.201,5.523,,27.455,2.699,001,
316,-533.090,20.019,,27.509,2.892,001,
317,-532.690,34.476,,27.567,3.085,001,
